Maximum fit for each generation: 
Best fit for generation 906: 2384
Best fit for generation 907: 2384
Best fit for generation 908: 2384
Best fit for generation 909: 2384
Best fit for generation 910: 2384
Best fit for generation 911: 2384
Best fit for generation 912: 2384
Best fit for generation 913: 2384
Best fit for generation 914: 2384
Best fit for generation 915: 2384
Best fit for generation 916: 2384
Best fit for generation 917: 2384
Best fit for generation 918: 2384
Best fit for generation 919: 2384
Best fit for generation 920: 2384
Best fit for generation 921: 2384
Best fit for generation 922: 2384
Best fit for generation 923: 2384
Best fit for generation 924: 2384
Best fit for generation 925: 2384
Best fit for generation 926: 2384
Best fit for generation 927: 2384
Best fit for generation 928: 2384
Best fit for generation 929: 2384
Best fit for generation 930: 2384
Best fit for generation 931: 2384
Best fit for generation 932: 2384
Best fit for generation 933: 2384
Best fit for generation 934: 2384
Best fit for generation 935: 2384
Best fit for generation 936: 2384
Best fit for generation 937: 2384
Best fit for generation 938: 2384
Best fit for generation 939: 2384
Best fit for generation 940: 2384
Best fit for generation 941: 2384
Best fit for generation 942: 2384
Best fit for generation 943: 2384
Best fit for generation 944: 2384
Best fit for generation 945: 2384
Best fit for generation 946: 2384
Best fit for generation 947: 2384
Best fit for generation 948: 2384
Best fit for generation 949: 2384
Best fit for generation 950: 2384
Best fit for generation 951: 2384
Best fit for generation 952: 2384
Best fit for generation 953: 2384
Best fit for generation 954: 2384
Best fit for generation 955: 2384
Best fit for generation 956: 2384
Best fit for generation 957: 2384
Best fit for generation 958: 2384
Best fit for generation 959: 2384
Best fit for generation 960: 2384
Best fit for generation 961: 2384
Best fit for generation 962: 2384
Best fit for generation 963: 2384
Best fit for generation 964: 2384
Best fit for generation 965: 2384
Best fit for generation 966: 2384
Best fit for generation 967: 2384
Best fit for generation 968: 2384
Best fit for generation 969: 2384
Best fit for generation 970: 2384
Best fit for generation 971: 2384
Best fit for generation 972: 2384
Best fit for generation 973: 2384
Best fit for generation 974: 2384
Best fit for generation 975: 2384
Best fit for generation 976: 2384
Best fit for generation 977: 2384
Best fit for generation 978: 2384
Best fit for generation 979: 2384
Best fit for generation 980: 2384
Best fit for generation 981: 2384
Best fit for generation 982: 2384
Best fit for generation 983: 2384
Best fit for generation 984: 2384
Best fit for generation 985: 2384
Best fit for generation 986: 2384
Best fit for generation 987: 2384
Best fit for generation 988: 2384
Best fit for generation 989: 2384
Best fit for generation 990: 2384
Best fit for generation 991: 2384
Best fit for generation 992: 2384
Best fit for generation 993: 2384
Best fit for generation 994: 2384
Best fit for generation 995: 2384
