Maximum fit for each generation: 
Best fit for generation 881: 2170
Best fit for generation 882: 2170
Best fit for generation 883: 2170
Best fit for generation 884: 2170
Best fit for generation 885: 2170
Best fit for generation 886: 2170
Best fit for generation 887: 2170
Best fit for generation 888: 2170
Best fit for generation 889: 2170
Best fit for generation 890: 2170
Best fit for generation 891: 2170
Best fit for generation 892: 2170
Best fit for generation 893: 2170
Best fit for generation 894: 2170
Best fit for generation 895: 2170
Best fit for generation 896: 2170
Best fit for generation 897: 2170
Best fit for generation 898: 2170
Best fit for generation 899: 2170
Best fit for generation 900: 2170
Best fit for generation 901: 2170
Best fit for generation 902: 2170
Best fit for generation 903: 2170
Best fit for generation 904: 2170
Best fit for generation 905: 2170
Best fit for generation 906: 2170
Best fit for generation 907: 2170
Best fit for generation 908: 2170
Best fit for generation 909: 2170
Best fit for generation 910: 2170
Best fit for generation 911: 2170
Best fit for generation 912: 2170
Best fit for generation 913: 2170
Best fit for generation 914: 2170
Best fit for generation 915: 2170
Best fit for generation 916: 2170
Best fit for generation 917: 2170
Best fit for generation 918: 2170
Best fit for generation 919: 2170
Best fit for generation 920: 2170
Best fit for generation 921: 2170
Best fit for generation 922: 2170
Best fit for generation 923: 2170
Best fit for generation 924: 2170
Best fit for generation 925: 2170
Best fit for generation 926: 2170
Best fit for generation 927: 2170
Best fit for generation 928: 2170
Best fit for generation 929: 2170
Best fit for generation 930: 2170
Best fit for generation 931: 2170
Best fit for generation 932: 2170
Best fit for generation 933: 2170
Best fit for generation 934: 2170
Best fit for generation 935: 2170
Best fit for generation 936: 2170
Best fit for generation 937: 2170
Best fit for generation 938: 2170
Best fit for generation 939: 2170
Best fit for generation 940: 2170
Best fit for generation 941: 2170
Best fit for generation 942: 2170
Best fit for generation 943: 2170
Best fit for generation 944: 2170
Best fit for generation 945: 2170
Best fit for generation 946: 2170
Best fit for generation 947: 2170
Best fit for generation 948: 2170
Best fit for generation 949: 2170
Best fit for generation 950: 2170
Best fit for generation 951: 2170
Best fit for generation 952: 2170
Best fit for generation 953: 2170
Best fit for generation 954: 2170
Best fit for generation 955: 2170
Best fit for generation 956: 2170
Best fit for generation 957: 2170
Best fit for generation 958: 2170
Best fit for generation 959: 2170
Best fit for generation 960: 2170
Best fit for generation 961: 2170
Best fit for generation 962: 2170
Best fit for generation 963: 2170
Best fit for generation 964: 2170
