Maximum fit for each generation: 
Best fit for generation 663: 748
Best fit for generation 664: 748
Best fit for generation 665: 748
Best fit for generation 666: 748
Best fit for generation 667: 748
Best fit for generation 668: 748
Best fit for generation 669: 748
Best fit for generation 670: 748
Best fit for generation 671: 748
Best fit for generation 672: 748
Best fit for generation 673: 748
Best fit for generation 674: 748
Best fit for generation 675: 748
Best fit for generation 676: 748
Best fit for generation 677: 748
Best fit for generation 678: 748
Best fit for generation 679: 748
Best fit for generation 680: 748
Best fit for generation 681: 748
Best fit for generation 682: 748
Best fit for generation 683: 748
Best fit for generation 684: 748
Best fit for generation 685: 748
Best fit for generation 686: 748
Best fit for generation 687: 748
Best fit for generation 688: 748
Best fit for generation 689: 748
Best fit for generation 690: 748
Best fit for generation 691: 748
Best fit for generation 692: 748
Best fit for generation 693: 748
Best fit for generation 694: 748
Best fit for generation 695: 748
Best fit for generation 696: 748
Best fit for generation 697: 748
Best fit for generation 698: 748
Best fit for generation 699: 748
Best fit for generation 700: 748
Best fit for generation 701: 748
Best fit for generation 702: 748
Best fit for generation 703: 748
Best fit for generation 704: 748
Best fit for generation 705: 748
Best fit for generation 706: 748
Best fit for generation 707: 748
Best fit for generation 708: 748
Best fit for generation 709: 748
Best fit for generation 710: 748
Best fit for generation 711: 748
Best fit for generation 712: 748
Best fit for generation 713: 748
Best fit for generation 714: 748
Best fit for generation 715: 748
Best fit for generation 716: 748
Best fit for generation 717: 748
Best fit for generation 718: 748
Best fit for generation 719: 748
Best fit for generation 720: 748
Best fit for generation 721: 748
Best fit for generation 722: 748
Best fit for generation 723: 748
Best fit for generation 724: 748
Best fit for generation 725: 748
Best fit for generation 726: 748
Best fit for generation 727: 748
Best fit for generation 728: 748
Best fit for generation 729: 748
Best fit for generation 730: 748
Best fit for generation 731: 748
Best fit for generation 732: 748
Best fit for generation 733: 748
Best fit for generation 734: 748
Best fit for generation 735: 748
Best fit for generation 736: 748
Best fit for generation 737: 748
Best fit for generation 738: 748
Best fit for generation 739: 748
Best fit for generation 740: 748
Best fit for generation 741: 748
Best fit for generation 742: 748
Best fit for generation 743: 748
Best fit for generation 744: 748
Best fit for generation 745: 748
Best fit for generation 746: 748
Best fit for generation 747: 748
Best fit for generation 748: 748
Best fit for generation 749: 748
Best fit for generation 750: 748
Best fit for generation 751: 748
Best fit for generation 752: 748
Best fit for generation 753: 748
Best fit for generation 754: 748
Best fit for generation 755: 748
Best fit for generation 756: 748
Best fit for generation 757: 748
Best fit for generation 758: 748
Best fit for generation 759: 748
Best fit for generation 760: 748
Best fit for generation 761: 748
Best fit for generation 762: 748
Best fit for generation 763: 748
Best fit for generation 764: 748
Best fit for generation 765: 748
Best fit for generation 766: 748
Best fit for generation 767: 748
Best fit for generation 768: 748
Best fit for generation 769: 748
Best fit for generation 770: 748
Best fit for generation 771: 748
Best fit for generation 772: 748
Best fit for generation 773: 748
Best fit for generation 774: 748
Best fit for generation 775: 748
Best fit for generation 776: 748
Best fit for generation 777: 748
Best fit for generation 778: 748
Best fit for generation 779: 748
Best fit for generation 780: 748
Best fit for generation 781: 748
Best fit for generation 782: 748
Best fit for generation 783: 748
Best fit for generation 784: 748
Best fit for generation 785: 748
Best fit for generation 786: 748
Best fit for generation 787: 748
Best fit for generation 788: 748
Best fit for generation 789: 748
Best fit for generation 790: 748
Best fit for generation 791: 748
Best fit for generation 792: 748
Best fit for generation 793: 748
Best fit for generation 794: 748
Best fit for generation 795: 748
Best fit for generation 796: 748
Best fit for generation 797: 748
Best fit for generation 798: 748
Best fit for generation 799: 748
Best fit for generation 800: 748
Best fit for generation 801: 748
Best fit for generation 802: 748
Best fit for generation 803: 748
Best fit for generation 804: 748
Best fit for generation 805: 748
Best fit for generation 806: 748
Best fit for generation 807: 748
Best fit for generation 808: 748
Best fit for generation 809: 748
Best fit for generation 810: 748
Best fit for generation 811: 748
Best fit for generation 812: 748
Best fit for generation 813: 748
Best fit for generation 814: 748
Best fit for generation 815: 748
Best fit for generation 816: 748
Best fit for generation 817: 748
Best fit for generation 818: 748
Best fit for generation 819: 748
Best fit for generation 820: 748
Best fit for generation 821: 748
Best fit for generation 822: 748
Best fit for generation 823: 748
Best fit for generation 824: 748
Best fit for generation 825: 748
Best fit for generation 826: 748
Best fit for generation 827: 748
Best fit for generation 828: 748
Best fit for generation 829: 748
Best fit for generation 830: 748
Best fit for generation 831: 748
Best fit for generation 832: 748
Best fit for generation 833: 748
Best fit for generation 834: 748
Best fit for generation 835: 748
Best fit for generation 836: 748
Best fit for generation 837: 748
Best fit for generation 838: 748
Best fit for generation 839: 748
Best fit for generation 840: 748
Best fit for generation 841: 748
Best fit for generation 842: 748
Best fit for generation 843: 748
Best fit for generation 844: 748
Best fit for generation 845: 748
Best fit for generation 846: 748
Best fit for generation 847: 748
Best fit for generation 848: 748
Best fit for generation 849: 748
Best fit for generation 850: 748
Best fit for generation 851: 748
Best fit for generation 852: 748
Best fit for generation 853: 748
Best fit for generation 854: 748
Best fit for generation 855: 748
Best fit for generation 856: 748
Best fit for generation 857: 748
Best fit for generation 858: 748
Best fit for generation 859: 748
Best fit for generation 860: 748
Best fit for generation 861: 748
Best fit for generation 862: 748
Best fit for generation 863: 748
Best fit for generation 864: 748
Best fit for generation 865: 748
Best fit for generation 866: 748
Best fit for generation 867: 748
Best fit for generation 868: 748
Best fit for generation 869: 748
Best fit for generation 870: 748
Best fit for generation 871: 748
Best fit for generation 872: 748
Best fit for generation 873: 748
Best fit for generation 874: 748
Best fit for generation 875: 748
Best fit for generation 876: 748
Best fit for generation 877: 748
Best fit for generation 878: 748
Best fit for generation 879: 748
Best fit for generation 880: 748
Best fit for generation 881: 748
Best fit for generation 882: 748
Best fit for generation 883: 748
Best fit for generation 884: 748
Best fit for generation 885: 748
Best fit for generation 886: 748
Best fit for generation 887: 748
Best fit for generation 888: 748
Best fit for generation 889: 748
Best fit for generation 890: 748
Best fit for generation 891: 748
Best fit for generation 892: 748
Best fit for generation 893: 748
Best fit for generation 894: 748
Best fit for generation 895: 748
Best fit for generation 896: 748
Best fit for generation 897: 748
Best fit for generation 898: 748
Best fit for generation 899: 748
Best fit for generation 900: 748
Best fit for generation 901: 748
Best fit for generation 902: 748
Best fit for generation 903: 748
Best fit for generation 904: 748
Best fit for generation 905: 748
Best fit for generation 906: 748
Best fit for generation 907: 748
Best fit for generation 908: 748
Best fit for generation 909: 748
Best fit for generation 910: 748
Best fit for generation 911: 748
Best fit for generation 912: 748
Best fit for generation 913: 748
Best fit for generation 914: 748
Best fit for generation 915: 748
Best fit for generation 916: 748
Best fit for generation 917: 748
Best fit for generation 918: 748
Best fit for generation 919: 748
Best fit for generation 920: 748
Best fit for generation 921: 748
Best fit for generation 922: 748
Best fit for generation 923: 748
Best fit for generation 924: 748
Best fit for generation 925: 748
Best fit for generation 926: 748
Best fit for generation 927: 748
Best fit for generation 928: 748
Best fit for generation 929: 748
Best fit for generation 930: 748
Best fit for generation 931: 748
Best fit for generation 932: 748
Best fit for generation 933: 748
Best fit for generation 934: 748
Best fit for generation 935: 748
Best fit for generation 936: 748
Best fit for generation 937: 748
Best fit for generation 938: 748
Best fit for generation 939: 748
Best fit for generation 940: 748
Best fit for generation 941: 748
Best fit for generation 942: 748
Best fit for generation 943: 748
Best fit for generation 944: 748
Best fit for generation 945: 748
Best fit for generation 946: 748
Best fit for generation 947: 748
Best fit for generation 948: 748
Best fit for generation 949: 748
Best fit for generation 950: 748
Best fit for generation 951: 748
Best fit for generation 952: 748
Best fit for generation 953: 748
Best fit for generation 954: 748
Best fit for generation 955: 748
Best fit for generation 956: 748
Best fit for generation 957: 748
Best fit for generation 958: 748
Best fit for generation 959: 748
Best fit for generation 960: 748
Best fit for generation 961: 748
Best fit for generation 962: 748
Best fit for generation 963: 748
Best fit for generation 964: 748
Best fit for generation 965: 748
Best fit for generation 966: 748
Best fit for generation 967: 748
Best fit for generation 968: 748
Best fit for generation 969: 748
Best fit for generation 970: 748
Best fit for generation 971: 748
Best fit for generation 972: 748
Best fit for generation 973: 748
Best fit for generation 974: 748
Best fit for generation 975: 748
Best fit for generation 976: 748
Best fit for generation 977: 748
Best fit for generation 978: 748
Best fit for generation 979: 748
Best fit for generation 980: 748
Best fit for generation 981: 748
Best fit for generation 982: 748
Best fit for generation 983: 748
Best fit for generation 984: 748
Best fit for generation 985: 748
Best fit for generation 986: 748
Best fit for generation 987: 748
Best fit for generation 988: 748
Best fit for generation 989: 748
Best fit for generation 990: 748
Best fit for generation 991: 748
Best fit for generation 992: 748
Best fit for generation 993: 748
Best fit for generation 994: 748
Best fit for generation 995: 748
Best fit for generation 996: 748
Best fit for generation 997: 748
Best fit for generation 998: 748
Best fit for generation 999: 748
Best fit for generation 1000: 748
Best fit for generation 1001: 748
Best fit for generation 1002: 748
Best fit for generation 1003: 748
Best fit for generation 1004: 748
Best fit for generation 1005: 748
Best fit for generation 1006: 748
Best fit for generation 1007: 748
Best fit for generation 1008: 748
Best fit for generation 1009: 748
Best fit for generation 1010: 748
Best fit for generation 1011: 748
Best fit for generation 1012: 748
Best fit for generation 1013: 748
Best fit for generation 1014: 748
Best fit for generation 1015: 748
Best fit for generation 1016: 748
Best fit for generation 1017: 748
Best fit for generation 1018: 748
Best fit for generation 1019: 748
Best fit for generation 1020: 748
Best fit for generation 1021: 748
Best fit for generation 1022: 748
Best fit for generation 1023: 748
Best fit for generation 1024: 748
Best fit for generation 1025: 748
Best fit for generation 1026: 748
Best fit for generation 1027: 748
Best fit for generation 1028: 748
Best fit for generation 1029: 748
Best fit for generation 1030: 748
Best fit for generation 1031: 748
Best fit for generation 1032: 748
Best fit for generation 1033: 748
Best fit for generation 1034: 748
Best fit for generation 1035: 748
Best fit for generation 1036: 748
Best fit for generation 1037: 748
Best fit for generation 1038: 748
Best fit for generation 1039: 748
Best fit for generation 1040: 748
Best fit for generation 1041: 748
Best fit for generation 1042: 748
Best fit for generation 1043: 748
Best fit for generation 1044: 748
Best fit for generation 1045: 748
Best fit for generation 1046: 748
Best fit for generation 1047: 748
Best fit for generation 1048: 748
Best fit for generation 1049: 748
Best fit for generation 1050: 748
Best fit for generation 1051: 748
Best fit for generation 1052: 748
Best fit for generation 1053: 748
Best fit for generation 1054: 748
Best fit for generation 1055: 748
Best fit for generation 1056: 748
Best fit for generation 1057: 748
Best fit for generation 1058: 748
Best fit for generation 1059: 748
Best fit for generation 1060: 748
Best fit for generation 1061: 748
Best fit for generation 1062: 748
Best fit for generation 1063: 748
Best fit for generation 1064: 748
Best fit for generation 1065: 748
Best fit for generation 1066: 748
